crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BTC-USD,2019-01-02,2019-12-30,363 days,100.0,225.1322636157126,125.13226361571259,84.94136249508948,100.0,0.0,21.78429833629683,89 days,81,81,0,0.0,38.2716049382716,23.522550339112765,-13.009972955850586,6.489767220255854,-1.7949347914464613,3 days 06:11:36.774193548,1 days 04:48:00,1.8060269458186697,1.544842760687809,1.9487621724174273,5.7904606637187275,1.6163993545752076,3.3763127956651102
BTC-USD,2020-01-02,2020-12-30,364 days,100.0,251.78063462806347,151.78063462806347,312.8706048121783,100.0,0.0,26.294199230734222,95 days,94,93,1,15.331087799364411,43.01075268817204,24.854946345208788,-7.00691567616347,4.760283434911494,-1.7795629300977829,2 days 16:12:00,1 days 03:10:11.320754716,2.163241529543234,1.4671994282655818,2.3302968548906704,5.796721788829515,1.7692638171799395,4.9646075409584665
BTC-USD,2021-01-02,2021-12-30,363 days,100.0,162.50106856784672,62.501068567846715,46.847611255066646,100.0,0.0,32.90030908999131,225 days,88,87,1,0.0,37.93103448275862,29.633436583351962,-9.549672640080418,5.753998339504909,-2.3569055451933782,2 days 17:27:16.363636363,1 days 07:06:40,1.3470823453191627,0.7184030869867439,1.2438174801568174,1.9129407681042536,1.3062503943697037,2.0325953278055264
BTC-USD,2022-01-02,2022-12-30,363 days,100.0,82.25184945108462,-17.748150548915376,-64.9329195727921,100.0,0.0,37.38999681853692,276 days,82,81,1,-0.19695684590465135,38.2716049382716,17.253614489625182,-9.707194434960302,3.38033041413523,-2.384671834945731,3 days 15:29:01.935483870,1 days 13:26:24,0.8498747058873014,-0.21668140374087352,-0.2819809623184604,-0.4770432827488837,0.9432624897585908,-0.39966687807581297
BTC-USD,2023-01-02,2023-12-30,363 days,100.0,216.8738768677652,116.8738768677652,152.61093777667676,100.0,0.0,13.285153944941037,116 days,91,91,0,0.0,41.75824175824176,22.173203731007455,-5.180920518953689,4.143158633549449,-1.336757944742057,2 days 11:22:06.315789473,1 days 01:21:30.566037735,2.005430723283773,1.2843283172281896,2.452002466309133,8.86710667288938,1.8518561786547005,5.5937693934075385
BTC-USD,2024-01-02,2024-12-30,364 days,100.0,162.91343038190664,62.91343038190663,106.06627370703912,100.0,0.0,21.804052257185674,211 days,92,92,0,0.0,38.04347826086957,26.811371539432656,-6.032105869640063,4.46358304201916,-1.7084878771624377,2 days 23:18:51.428571428,1 days 02:31:34.736842105,1.4503250106668244,0.6838416345859413,1.5666720857543204,2.895425555777538,1.4128895526203555,2.854920412866229
BTC-USD,2025-01-02,2025-02-23,53 days,100.0,95.69852560461023,-4.301474395389775,-0.6326482560202185,100.0,0.0,9.860354310448585,39 days,12,12,0,0.0,33.33333333333333,5.338305757913893,-3.484627840566347,1.926269762990328,-1.534285598414422,3 days 18:00:00,1 days 21:00:00,0.6435168960238136,-0.35845619961581465,-0.8669182696537845,-2.649483520194006,0.8397243951017647,-1.1941614971806864
ETH-USD,2019-01-02,2019-12-30,363 days,100.0,114.22362876337918,14.223628763379182,-14.456326784077167,100.0,0.0,19.642514203768446,187 days,91,91,0,0.0,32.967032967032964,23.834996393168087,-8.880256246006645,6.73566642527998,-2.115273866432399,3 days 05:36:00,1 days 07:28:31.475409836,1.1410664800028576,0.15630361278438665,0.5302768862839675,0.728387048189601,1.147414563469248,0.8360301328789818
ETH-USD,2020-01-02,2020-12-30,364 days,100.0,345.0543185223344,245.05431852233443,489.9206504563165,100.0,0.0,19.109741308822688,74 days,86,85,1,64.27681044435451,48.23529411764706,29.239038211378478,-8.055328049903798,6.2700614300326265,-2.3500392825305703,2 days 20:29:16.097560975,1 days 04:21:49.090909090,2.3297753791838485,2.1267942126821167,2.9737299416594087,12.885071654463163,1.985597387383591,5.717304281382352
ETH-USD,2021-01-02,2021-12-30,363 days,100.0,243.47528762561726,143.47528762561726,379.4944295030872,100.0,0.0,44.12815167744351,233 days,92,91,1,0.0,40.65934065934066,58.05576068238398,-27.200349417220238,8.165990487058785,-3.612221807485346,3 days 00:38:55.135135135,1 days 05:20:00,1.3669662528543698,1.576651512369419,1.6492359472195834,3.278449388367216,1.4096326861210762,2.797412501909769
ETH-USD,2022-01-02,2022-12-30,363 days,100.0,87.3001018861756,-12.699898113824403,-68.68488179637534,100.0,0.0,48.37152802461858,271 days,85,84,1,-0.17198558566396116,36.904761904761905,38.558999029433345,-13.418330070586016,6.079292872220807,-3.427027229287848,3 days 04:38:42.580645161,1 days 14:02:15.849056603,0.9294021545415393,-0.14914181581143393,0.04566383692488608,-0.2638990719899144,1.0094389971872715,0.06672676341480385
ETH-USD,2023-01-02,2023-12-30,363 days,100.0,155.96890763862422,55.96890763862423,88.70069113339105,100.0,0.0,25.14462592901309,236 days,87,87,0,0.0,33.33333333333333,21.787742499584432,-7.989115082796936,4.939935426713991,-1.5806570937754636,3 days 11:35:10.344827586,1 days 04:08:16.551724137,1.477616634900861,0.6433207774554506,1.480797717674912,2.2410887207750894,1.3911023386085641,2.6429286436287978
