crypto,period,start_date,end_date,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BTC-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,177.81646206263548,77.81646206263547,84.94136249508948,100.0,23.578119342712082,22.71727799357805,89 days,82,82,0,0.0,34.146341463414636,20.367978133306732,-13.19696298289472,6.232291218400574,-1.86391594405084,3 days 06:51:25.714285714,1 days 05:46:40,1.5081567003897158,0.948981244666286,1.4426198248716882,3.450292656923306,1.412714349458062,2.456839829982275
ETH-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,92.1698891923245,-7.8301108076755,-14.456326784077167,100.0,11.644491880099926,25.716625433266486,228 days,93,93,0,0.0,27.956989247311824,23.61116139677494,-9.07137598976064,7.211959261254114,-2.0745846774249754,3 days 06:27:41.538461538,1 days 06:26:51.940298507,0.9235257032233998,-0.08419473986747783,0.0019241605052885019,-0.306086338664347,1.0004922360059418,0.002937694807711183
XRP-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,99.96571012926435,-0.03428987073564989,-48.17385199950499,0.43224845965696096,0.026614651869210564,0.1012845864815877,229 days,93,93,0,0.0,25.806451612903224,28.723191906258045,-9.132106699520481,5.631823097714173,-2.238557979756981,3 days 07:00:00,1 days 05:33:54.782608695,0.8641842743385306,-0.00036870828748010757,-0.28247649844678074,-0.34041470936300233,0.9107082786329301,-0.5299498928531372
BCH-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,126.36480200937724,26.364802009377247,21.86926970798644,100.0,14.819103125869079,40.085081061683766,229 days,94,94,0,0.0,35.1063829787234,70.6845941820399,-10.8407783734472,8.00332910563603,-2.991709311297975,2 days 18:10:54.545454545,1 days 03:32:27.540983606,1.1631570188390836,0.28047661712103356,0.6860798626170643,0.6617879999997175,1.2112336220237017,1.3730185737318858
EOS-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,97.71968672223272,-2.280313277767277,-8.383520781822984,8.40762620127406,0.34553568964580145,2.464443415361312,228 days,96,96,0,0.0,27.083333333333332,35.62564919463354,-15.12808030755427,8.367052291729472,-2.864402049873673,2 days 22:09:13.846153846,1 days 08:54:51.428571428,0.5149431111891646,-0.02375326331007583,-1.420145284924453,-0.9303244036590058,0.664436661588668,-1.690893709242892
LTC-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,132.88146753347917,32.88146753347918,27.857105286487837,99.50170390868574,5.164268093083882,8.60275936362063,184 days,87,87,0,0.0,39.08045977011494,51.882707722414644,-10.483982635474716,7.750090291808509,-2.6139982939984243,2 days 21:52:56.470588235,1 days 03:37:21.509433962,1.8289091712215273,0.3779479026836694,1.3722373665856538,3.8464130288375364,1.4907086871793793,2.843268408943224
XLM-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,100.00547180583169,0.0054718058316944596,-61.49030901949109,0.11443797792992225,0.006448214680075079,0.015544104825036445,155 days,86,86,0,0.0,31.3953488372093,40.71332265511393,-7.289124065380184,7.62134486353883,-2.231368225544235,3 days 04:26:40,1 days 09:21:21.355932203,1.096836774876528,6.362564920575013e-05,0.19390030543699574,0.3539576201857551,1.0541038581726931,0.31922015802318865
ADA-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,100.01976217905924,0.01976217905923912,-25.772237574381553,0.09066821256628865,0.004950184029795471,0.016343043385673772,201 days,86,86,0,0.0,32.55813953488372,20.572795759112513,-8.426702242643866,6.485234693099821,-2.8288940979322037,3 days 02:34:17.142857142,1 days 12:00:00,1.413284938691508,0.00022979277975859432,0.6548578228379586,1.2158734414907413,1.195069203823932,1.163137060155352
TRX-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,100.00655738387668,0.006557383876678978,-33.73554013759743,0.032300189248715465,0.0019331133357001827,0.0075483094957745816,148 days,91,91,0,0.0,32.967032967032964,27.588414332879786,-9.776019901801575,6.614940270428009,-2.632087354644608,3 days 00:48:00,1 days 08:39:20.655737704,1.3732318102990415,7.205916347998863e-05,0.5978871759861358,0.8735086853739338,1.1684833995981496,0.9364648161439975
BSV-USD,2019,2019-01-01,2019-12-31,2019-01-02,2019-12-30,363 days,100.0,250.48100467634606,150.48100467634606,2.2055858491928815,87.42284488692316,5.33636156487408,11.398901161882856,138 days,88,88,0,0.0,32.95454545454545,73.82929252349999,-10.578525749598864,11.263821572865993,-2.8415897207839356,2 days 19:51:43.448275862,1 days 04:52:52.881355932,3.5681215153000467,1.7100114167766596,1.5953290370045095,13.31280996144233,2.552489675010959,7.309930305103264
BTC-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,213.68927801782093,113.68927801782094,312.8706048121783,100.0,22.10344633239295,28.25724088492054,181 days,93,92,1,12.81100254151562,36.95652173913043,24.630091398863588,-7.199908760487301,5.385717477983284,-1.7566975836875256,2 days 21:10:35.294117647,1 days 03:18:37.241379310,1.8477944878422725,1.0965029943076658,1.9409222243849424,4.039160379204665,1.581938643428301,4.038138999703039
ETH-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,310.878728806554,210.87872880655402,489.9206504563165,100.0,18.948529207239073,20.072589569774795,88 days,86,85,1,57.65760432470657,45.88235294117647,29.00979917316708,-8.247272721853887,6.381134515211436,-2.44232884094463,2 days 22:46:09.230769230,1 days 04:10:26.086956521,2.1103694275490166,1.8026014644923218,2.713926307466309,10.554141230866588,1.8360091438517911,5.1456468474146915
