crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BTC-USD,2019-01-02,2019-12-30,363 days,100.0,220.00063740583556,120.00063740583555,84.94136249508948,100.0,0.0,21.784298336296814,89 days,80,80,0,0.0,37.5,23.522550339112765,-13.009972955850593,6.693874192044159,-1.7949347914464624,3 days 08:00:00,1 days 04:48:00,1.7839454970844126,1.5000079675729439,1.9061254967912005,5.552551043446738,1.6018768666496603,3.289908264066621
BTC-USD,2020-01-02,2020-12-30,364 days,100.0,248.1808252633898,148.1808252633898,312.8706048121783,100.0,0.0,27.19639895267158,95 days,94,93,1,15.111893048694583,43.01075268817204,24.854946345208784,-7.006915676163475,4.760283434911494,-1.7795629300977822,2 days 16:12:00,1 days 03:10:11.320754716,2.134233708860663,1.4308487334913467,2.2917801811401737,5.471362649272218,1.7499146996932478,4.837601924656057
BTC-USD,2021-01-02,2021-12-30,363 days,100.0,102.04228281940406,2.0422828194040648,46.847611255066646,100.0,0.0,46.28106938660618,312 days,93,92,1,0.0,34.78260869565217,29.63343658335197,-13.32174549686006,5.479477465391433,-2.5280591292479517,2 days 16:30:00,1 days 08:00:00,1.0130949289571822,0.02219872629787023,0.27954809624076543,0.04437343072813495,1.059252300645218,0.3948189392147826
BTC-USD,2022-01-02,2022-12-30,363 days,100.0,86.24067363714153,-13.759326362858474,-64.9329195727921,100.0,0.0,36.758624655766695,276 days,83,82,1,-0.20650831782651835,39.02439024390244,17.253614489625182,-9.707194434960305,3.2945325750618664,-2.2787788707589884,3 days 12:00:00,1 days 10:33:36,0.8839909940765568,-0.16527826884185326,-0.1681968459028479,-0.376228279013694,0.9652112485594331,-0.23949860555871544
BTC-USD,2023-01-02,2023-12-30,363 days,100.0,214.8106349078927,114.81063490789269,152.61093777667676,100.0,0.0,12.008129349789714,114 days,89,89,0,0.0,41.57303370786517,22.173203731007455,-5.180920518953689,4.287927037527407,-1.3807872044654375,2 days 12:19:27.567567567,1 days 01:50:46.153846153,1.9571424233749273,1.2900071337965473,2.4468755014615278,9.63659294944733,1.8539838717342523,5.545457218421906
BTC-USD,2024-01-02,2024-12-30,364 days,100.0,155.17957247566903,55.17957247566903,106.06627370703912,100.0,0.0,21.804052257185642,211 days,92,92,0,0.0,35.869565217391305,26.81137153943265,-6.032105869640068,4.640141998324178,-1.6838376428548634,3 days 02:10:54.545454545,1 days 02:50:50.847457627,1.4140084736747736,0.5997779616920542,1.4452866129391049,2.53929931483329,1.3734607240758814,2.590597775025076
BTC-USD,2025-01-02,2025-02-23,53 days,100.0,98.8612385060727,-1.138761493927305,-0.6326482560202185,100.0,0.0,11.285459293797206,33 days,11,10,1,-0.31200138624147655,40.0,6.745573630816448,-3.4846278405663464,2.249992333338544,-1.5830703900382486,4 days 18:00:00,2 days 08:00:00,0.9167351464198352,-0.08267601076858266,-0.07394580508907563,-0.6720481817169894,0.9865059301805335,-0.10869165824264763
ETH-USD,2019-01-02,2019-12-30,363 days,100.0,112.16179519477818,12.161795194778179,-14.456326784077167,100.0,0.0,19.28313016397114,187 days,90,90,0,0.0,34.44444444444444,23.834996393168094,-8.880256246006645,6.467234106810969,-2.0144331120043937,3 days 02:19:21.290322580,1 days 06:54:54.915254237,1.122994992608139,0.13513105771975753,0.48563644755363955,0.6343754087344778,1.1364673519096973,0.7643477984956218
ETH-USD,2020-01-02,2020-12-30,364 days,100.0,340.3867835175922,240.38678351759222,489.9206504563165,100.0,0.0,19.092471319404485,74 days,86,85,1,63.40734077932615,48.23529411764706,29.239038211378453,-8.0553280499038,6.270061430032628,-2.3500392825305703,2 days 20:29:16.097560975,1 days 04:21:49.090909090,2.3290527436360335,2.082111091038424,2.969928824403755,12.650754292383544,1.9873237987557602,5.719182932156355
ETH-USD,2021-01-02,2021-12-30,363 days,100.0,266.84734046108747,166.84734046108744,379.4944295030872,100.0,0.0,39.598864265961716,202 days,91,90,1,0.0,41.11111111111111,58.05576068238398,-15.933166317234148,8.165990487058783,-3.1671627959809148,3 days 00:38:55.135135135,1 days 05:26:02.264150943,1.443347986378457,1.8538593384565267,1.809076474133643,4.249977771544223,1.4700866148074778,3.11762851113564
