crypto,period,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BTC-USD,2019,2019-01-02,2019-12-30,363 days,100.0,177.04849064254273,77.04849064254275,84.94136249508948,100.0,23.362362866546714,22.71727799357808,89 days,81,81,0,0.0,33.33333333333333,20.367978133306703,-13.196962982894721,6.4569615780250365,-1.8639159440508393,3 days 08:53:20,1 days 05:46:40,1.5053963607317093,0.9512159338585502,1.4342088591502151,3.416193229518214,1.4106256333034446,2.4411164376255168
ETH-USD,2019,2019-01-02,2019-12-30,363 days,100.0,102.22760487352457,2.227604873524566,-14.456326784077167,100.0,11.764949516443503,22.88908404583631,187 days,90,90,0,0.0,31.11111111111111,23.611161396774932,-9.07137598976064,6.999833358198456,-2.2421037363116643,3 days 08:34:17.142857142,1 days 07:44:30.967741935,1.0209055029684042,0.024751165261383434,0.25938810323234496,0.09786388235445403,1.0672364841804127,0.4027169636682772
XRP-USD,2019,2019-01-02,2019-12-30,363 days,100.0,99.96625655084804,-0.03374344915195673,-48.17385199950499,0.42702780772629406,0.026116031956573423,0.1006284969952843,229 days,94,94,0,0.0,25.53191489361702,28.723191906258045,-9.132106699520483,5.631823097714173,-2.2559733328341154,3 days 07:00:00,1 days 06:10:17.142857142,0.864431419068301,-0.00035897286331868774,-0.2823474526647143,-0.33717418963890605,0.9107775399872664,-0.5306833386422795
BCH-USD,2019,2019-01-02,2019-12-30,363 days,100.0,130.98012313715913,30.98012313715911,21.86926970798644,100.0,15.347791018596757,40.00132437510683,229 days,94,94,0,0.0,35.1063829787234,70.68459418203989,-10.8407783734472,8.003329105636034,-2.9917093112979747,2 days 18:10:54.545454545,1 days 03:32:27.540983606,1.1858926299822055,0.3295757780548856,0.7428249007282667,0.7793498098149556,1.2336682441684461,1.5239745468850077
EOS-USD,2019,2019-01-02,2019-12-30,363 days,100.0,97.80446645272768,-2.195533547272313,-8.383520781822984,8.30049131202224,0.3301568019611255,2.4052780993867158,228 days,95,95,0,0.0,27.368421052631582,35.62564919463353,-15.128080307554272,7.943998189484383,-2.7909334547118436,3 days 00:55:23.076923076,1 days 09:02:36.521739130,0.5053539194499203,-0.023110879444971703,-1.4183632715106116,-0.9177714812610555,0.6688737846331406,-1.690138565015104
LTC-USD,2019,2019-01-02,2019-12-30,363 days,100.0,127.25356198258137,27.253561982581374,27.857105286487837,100.0,4.9705065599851395,8.778421614048385,184 days,87,87,0,0.0,39.08045977011494,51.882707722414644,-10.483982635474716,7.750090291808509,-2.6139982939984248,2 days 21:52:56.470588235,1 days 03:37:21.509433962,1.6980935165858346,0.3132593331331192,1.1922156369789947,3.1238705270703986,1.4221276419388804,2.4179429029462636
XLM-USD,2019,2019-01-02,2019-12-30,363 days,100.0,100.00366324392213,0.003663243922139601,-61.49030901949109,0.1127056620943606,0.006306488591796563,0.01672999833919749,211 days,88,88,0,0.0,30.681818181818183,40.71332265511393,-7.289124065380184,7.616059560467665,-2.338135691971409,3 days 06:13:20,1 days 09:26:33.442622950,1.064545443271423,4.1627771842496085e-05,0.13224508006183558,0.2201690269868851,1.0363389414591961,0.21716712626267604
ADA-USD,2019,2019-01-02,2019-12-30,363 days,100.0,100.00613683253945,0.00613683253945879,-25.772237574381553,0.08949953414905905,0.005581706187241307,0.017040016815215595,201 days,95,95,0,0.0,27.368421052631582,20.572795759112516,-8.426702242643866,6.4757583235298215,-2.8100213417550575,3 days 00:55:23.076923076,1 days 10:05:13.043478260,1.1070417796322003,6.459823725746088e-05,0.20797718018030006,0.36212671613470593,1.0575574326540969,0.3568934179477735
TRX-USD,2019,2019-01-02,2019-12-30,363 days,100.0,100.00460578804986,0.004605788049864176,-33.73554013759743,0.032220453080123744,0.002013307780575297,0.007662344498170979,148 days,93,93,0,0.0,32.25806451612903,27.276977017114195,-9.776019901801575,6.347696000988094,-2.663376049596027,2 days 20:48:00,1 days 08:45:42.857142857,1.2372682444339405,4.9524602686711446e-05,0.4149839449952352,0.604405724806636,1.1166406364344945,0.6425434804559872
BSV-USD,2019,2019-01-02,2019-12-30,363 days,100.0,201.55260751775108,101.55260751775108,2.2055858491928815,100.0,5.357871354460644,14.557452630959505,145 days,94,94,0,0.0,29.78723404255319,73.8292925235,-16.731617937001296,9.608517953816675,-3.1809429022286366,2 days 17:08:34.285714285,1 days 04:43:38.181818181,2.5984701925267677,1.0803468884867131,1.245709365870638,7.029555938911618,2.1057662411853735,5.305264070982002
BTC-USD,2020,2020-01-02,2020-12-30,364 days,100.0,209.08527232406334,109.08527232406333,312.8706048121783,100.0,21.90449229035146,28.638007317201215,181 days,94,93,1,12.534985283228309,36.55913978494624,24.630091398863595,-7.199908760487284,5.378256093503165,-1.761796259811799,2 days 21:10:35.294117647,1 days 03:39:39.661016949,1.8135962783652066,1.0381751294713442,1.8863239836663819,3.8239172659437317,1.5565930829193853,3.904373299886837
ETH-USD,2020,2020-01-02,2020-12-30,364 days,100.0,306.9236639523381,206.92366395233805,489.9206504563165,100.0,19.386449527510017,20.163543747801867,88 days,86,85,1,56.92407210357848,45.88235294117647,29.009799173167096,-8.247272721853877,6.381134515211438,-2.4423288409446293,2 days 22:46:09.230769230,1 days 04:10:26.086956521,2.0521841574466775,1.7647010805736423,2.6632193519429026,10.309234824133933,1.81023270912006,5.027998763569326
XRP-USD,2020,2020-01-02,2020-12-30,364 days,100.0,100.20990767690822,0.20990767690822112,12.648700186824403,0.5689415361045889,0.018044730810006716,0.06030730002633642,168 days,86,86,0,0.0,36.04651162790697,108.89228945904009,-8.5339729098657,8.855035249628822,-2.1463203606634726,3 days 15:29:01.935483870,1 days 04:21:49.090909090,2.2418956391669536,0.002440786940793268,1.3204828910114723,3.4902068693987744,1.6941505398071979,3.083380393144461
BCH-USD,2020,2020-01-02,2020-12-30,364 days,100.0,78.23172603370693,-21.768273966293066,83.34729142029474,100.0,12.350731466244314,56.64816043988712,351 days,96,95,1,-0.07801668350222736,35.78947368421053,26.301597412030063,-15.541287537407733,4.970589678859067,-3.1193897751154838,2 days 21:10:35.294117647,1 days 05:30:29.508196721,0.8447336382661368,-0.2283184977135877,-0.08597774364871667,-0.38520259698760606,0.9788311725210121,-0.14692073415445464
LTC-USD,2020,2020-01-02,2020-12-30,364 days,100.0,144.27878470733185,44.278784707331866,225.10367489820302,80.39703908187893,5.17755769386569,13.693877795621736,282 days,87,87,0,0.0,45.97701149425287,23.3526476776683,-10.625231020314809,5.139275216695409,-3.124541784520567,2 days 19:48:00,1 days 07:08:56.170212765,2.040295070553727,0.5089515483601368,1.5786950391856207,3.2440889927790004,1.526335804515683,3.0232253288037696
EOS-USD,2020,2020-01-02,2020-12-30,364 days,100.0,98.99139542859466,-1.0086045714053442,5.992007326133719,4.47658644109415,0.24825499997984418,1.5524652421787895,322 days,96,96,0,0.0,32.29166666666667,23.014967133288348,-12.796560353208996,5.052236661211771,-2.627843826493896,3 days 02:19:21.290322580,1 days 07:00:55.384615384,0.6470567163730264,-0.010506297618805675,-0.9795282897855782,-0.6514551027171472,0.7699178986915728,-1.2670909214751462
BNB-USD,2020,2020-01-02,2020-12-30,364 days,100.0,110.88391524642529,10.883915246425286,192.74788648247042,23.93551166088187,1.7811578393564982,4.444622824885645,213 days,94,94,0,0.0,38.297872340425535,34.212763595182864,-10.250938960014285,5.721061340990357,-2.5276695080300793,3 days 08:40:00,1 days 03:43:26.896551724,1.8058249642138164,0.11578633240877961,1.5075837604597113,2.4558645771806065,1.4151162380767088,2.6984714452782734
BSV-USD,2020,2020-01-02,2020-12-30,364 days,100.0,228.5018085408194,128.5018085408194,79.77902035353566,95.92584809505036,9.424503693133817,25.094067479170473,351 days,82,81,1,-0.011450546717002907,37.03703703703704,89.2446363460754,-11.056087101244547,9.340378941761918,-2.7949538898243436,2 days 16:00:00,1 days 03:45:52.941176470,2.5288460788293867,1.586583445525141,1.0157424750411002,5.141500317835782,2.5080356645008943,4.916847487700487
ADA-USD,2020,2020-01-02,2020-12-30,364 days,100.0,100.04421688090066,0.04421688090065928,461.93700072683504,0.18772725654835762,0.008239968520504305,0.03815775995849357,137 days,90,90,0,0.0,37.77777777777778,37.646848125169754,-12.855489779357779,8.555506295714396,-3.592846072077327,3 days 03:31:45.882352941,1 days 03:25:42.857142857,1.5466572754723473,0.0004912986766739926,0.9520603846198917,1.161975514873387,1.3012377154005024,1.7187740351551826
XTZ-USD,2020,2020-01-02,2020-12-30,364 days,100.0,100.44681504423717,0.44681504423716684,60.31153928725295,3.8750882038310555,0.20738092069160366,1.6083349269301335,153 days,90,90,0,0.0,41.11111111111111,45.43742593480737,-12.185126420499092,6.731323501832591,-3.458699937212111,2 days 23:21:04.864864864,1 days 06:47:32.830188679,1.1585006028866676,0.0049646116026351855,0.3557888880083922,0.2785771150086524,1.0979943710237707,0.5710048309692253
